#sample_id,sample_name,bam_dir,bam_file
1,8988tAlnRep1,/dcs01/gcode/fdu1/iBS/Data/ENCODE/DNAse/DukeHG19/,wgEncodeOpenChromDnase8988tAlnRep1.bam
2,8988tAlnRep2,,wgEncodeOpenChromDnase8988tAlnRep2.bam
3,A549AlnRep1,,wgEncodeOpenChromDnaseA549AlnRep1.bam
4,A549AlnRep2,,wgEncodeOpenChromDnaseA549AlnRep2.bam
5,Adultcd4th0AlnRep1,,wgEncodeOpenChromDnaseAdultcd4th0AlnRep1.bam
6,Adultcd4th0AlnRep2,,wgEncodeOpenChromDnaseAdultcd4th0AlnRep2.bam
7,Adultcd4th1AlnRep1,,wgEncodeOpenChromDnaseAdultcd4th1AlnRep1.bam
8,Adultcd4th1AlnRep2,,wgEncodeOpenChromDnaseAdultcd4th1AlnRep2.bam
9,AosmcSerumfreeAlnRep1,,wgEncodeOpenChromDnaseAosmcSerumfreeAlnRep1.bam
10,AosmcSerumfreeAlnRep2,,wgEncodeOpenChromDnaseAosmcSerumfreeAlnRep2.bam
11,Cd20ro01794AlnRep1,,wgEncodeOpenChromDnaseCd20ro01794AlnRep1.bam
12,Cd20ro01794AlnRep2,,wgEncodeOpenChromDnaseCd20ro01794AlnRep2.bam
13,CerebellumocAlnRep1,,wgEncodeOpenChromDnaseCerebellumocAlnRep1.bam
14,CerebellumocAlnRep2,,wgEncodeOpenChromDnaseCerebellumocAlnRep2.bam
15,CerebrumfrontalocAlnRep1,,wgEncodeOpenChromDnaseCerebrumfrontalocAlnRep1.bam
16,CerebrumfrontalocAlnRep2,,wgEncodeOpenChromDnaseCerebrumfrontalocAlnRep2.bam
17,ChorionAlnRep1,,wgEncodeOpenChromDnaseChorionAlnRep1.bam
18,ChorionAlnRep2,,wgEncodeOpenChromDnaseChorionAlnRep2.bam
19,CllAlnRep1,,wgEncodeOpenChromDnaseCllAlnRep1.bam
20,CllAlnRep2,,wgEncodeOpenChromDnaseCllAlnRep2.bam
21,CllAlnRep3,,wgEncodeOpenChromDnaseCllAlnRep3.bam
22,Colo829AlnRep1,,wgEncodeOpenChromDnaseColo829AlnRep1.bam
23,Colo829AlnRep2,,wgEncodeOpenChromDnaseColo829AlnRep2.bam
24,Ecc1Dm002p1hAlnRep1,,wgEncodeOpenChromDnaseEcc1Dm002p1hAlnRep1.bam
25,Ecc1Dm002p1hAlnRep2,,wgEncodeOpenChromDnaseEcc1Dm002p1hAlnRep2.bam
26,Ecc1Est10nm30mAlnRep1,,wgEncodeOpenChromDnaseEcc1Est10nm30mAlnRep1.bam
27,Ecc1Est10nm30mAlnRep2,,wgEncodeOpenChromDnaseEcc1Est10nm30mAlnRep2.bam
28,FibroblAlnRep1,,wgEncodeOpenChromDnaseFibroblAlnRep1.bam
29,FibroblAlnRep2,,wgEncodeOpenChromDnaseFibroblAlnRep2.bam
30,Fibroblgm03348AlnRep1,,wgEncodeOpenChromDnaseFibroblgm03348AlnRep1.bam
31,Fibroblgm03348AlnRep2,,wgEncodeOpenChromDnaseFibroblgm03348AlnRep2.bam
32,Fibroblgm03348LenticonAlnRep1,,wgEncodeOpenChromDnaseFibroblgm03348LenticonAlnRep1.bam
33,Fibroblgm03348LenticonAlnRep2,,wgEncodeOpenChromDnaseFibroblgm03348LenticonAlnRep2.bam
34,Fibroblgm03348LentimyodAlnRep1,,wgEncodeOpenChromDnaseFibroblgm03348LentimyodAlnRep1.bam
35,Fibroblgm03348LentimyodAlnRep2,,wgEncodeOpenChromDnaseFibroblgm03348LentimyodAlnRep2.bam
36,Fibropag08395AlnRep1,,wgEncodeOpenChromDnaseFibropag08395AlnRep1.bam
37,Fibropag08395AlnRep2,,wgEncodeOpenChromDnaseFibropag08395AlnRep2.bam
38,Fibropag08395AlnRep3,,wgEncodeOpenChromDnaseFibropag08395AlnRep3.bam
39,Fibropag08396AlnRep1,,wgEncodeOpenChromDnaseFibropag08396AlnRep1.bam
40,Fibropag08396AlnRep2,,wgEncodeOpenChromDnaseFibropag08396AlnRep2.bam
41,Fibropag08396AlnRep3,,wgEncodeOpenChromDnaseFibropag08396AlnRep3.bam
42,Fibropag20443AlnRep1,,wgEncodeOpenChromDnaseFibropag20443AlnRep1.bam
43,Fibropag20443AlnRep2,,wgEncodeOpenChromDnaseFibropag20443AlnRep2.bam
44,Fibropag20443AlnRep3,,wgEncodeOpenChromDnaseFibropag20443AlnRep3.bam
45,FrontalcortexocAlnRep1,,wgEncodeOpenChromDnaseFrontalcortexocAlnRep1.bam
46,FrontalcortexocAlnRep2,,wgEncodeOpenChromDnaseFrontalcortexocAlnRep2.bam
47,GcbcellAlnRep1,,wgEncodeOpenChromDnaseGcbcellAlnRep1.bam
48,GcbcellAlnRep2,,wgEncodeOpenChromDnaseGcbcellAlnRep2.bam
49,GlioblaAlnRep1,,wgEncodeOpenChromDnaseGlioblaAlnRep1.bam
50,GlioblaAlnRep2,,wgEncodeOpenChromDnaseGlioblaAlnRep2.bam
51,Gm10248AlnRep1,,wgEncodeOpenChromDnaseGm10248AlnRep1.bam
52,Gm10248AlnRep2,,wgEncodeOpenChromDnaseGm10248AlnRep2.bam
53,Gm10266AlnRep1,,wgEncodeOpenChromDnaseGm10266AlnRep1.bam
54,Gm10266AlnRep2,,wgEncodeOpenChromDnaseGm10266AlnRep2.bam
55,Gm12878AlnRep1,,wgEncodeOpenChromDnaseGm12878AlnRep1.bam
56,Gm12878AlnRep2,,wgEncodeOpenChromDnaseGm12878AlnRep2.bam
57,Gm12878AlnRep3,,wgEncodeOpenChromDnaseGm12878AlnRep3.bam
58,Gm12878AlnRep4,,wgEncodeOpenChromDnaseGm12878AlnRep4.bam
59,Gm12878AlnRep5,,wgEncodeOpenChromDnaseGm12878AlnRep5.bam
60,Gm12891AlnRep1,,wgEncodeOpenChromDnaseGm12891AlnRep1.bam
61,Gm12891AlnRep2,,wgEncodeOpenChromDnaseGm12891AlnRep2.bam
62,Gm12892AlnRep1,,wgEncodeOpenChromDnaseGm12892AlnRep1.bam
63,Gm12892AlnRep2,,wgEncodeOpenChromDnaseGm12892AlnRep2.bam
64,Gm13976AlnRep1,,wgEncodeOpenChromDnaseGm13976AlnRep1.bam
65,Gm13976AlnRep2,,wgEncodeOpenChromDnaseGm13976AlnRep2.bam
66,Gm13977AlnRep1,,wgEncodeOpenChromDnaseGm13977AlnRep1.bam
67,Gm13977AlnRep2,,wgEncodeOpenChromDnaseGm13977AlnRep2.bam
68,Gm18507AlnRep1,,wgEncodeOpenChromDnaseGm18507AlnRep1.bam
