#sample_id,sample_name,bam_dir,bam_file
1,A549H3k04me3Dex100nmAlnRep1,/dcs01/gcode/fdu1/data/ENCODE/Histone/BroadHg19/,wgEncodeBroadHistoneA549H3k04me3Dex100nmAlnRep1.bam
2,A549H3k04me3Dex100nmAlnRep2,,wgEncodeBroadHistoneA549H3k04me3Dex100nmAlnRep2.bam
3,A549H3k04me3Etoh02AlnRep1,,wgEncodeBroadHistoneA549H3k04me3Etoh02AlnRep1.bam
4,A549H3k04me3Etoh02AlnRep2,,wgEncodeBroadHistoneA549H3k04me3Etoh02AlnRep2.bam
5,Dnd41H3k04me3AlnRep1,,wgEncodeBroadHistoneDnd41H3k04me3AlnRep1.bam
6,Dnd41H3k04me3AlnRep2,,wgEncodeBroadHistoneDnd41H3k04me3AlnRep2.bam
7,Gm12878H3k04me3StdAlnRep2V2,,wgEncodeBroadHistoneGm12878H3k04me3StdAlnRep2V2.bam
8,Gm12878H3k4me3StdAlnRep1,,wgEncodeBroadHistoneGm12878H3k4me3StdAlnRep1.bam
9,H1hescH3k4me3StdAlnRep1,,wgEncodeBroadHistoneH1hescH3k4me3StdAlnRep1.bam
10,H1hescH3k4me3StdAlnRep2,,wgEncodeBroadHistoneH1hescH3k4me3StdAlnRep2.bam
11,Helas3H3k4me3StdAlnRep1,,wgEncodeBroadHistoneHelas3H3k4me3StdAlnRep1.bam
12,Helas3H3k4me3StdAlnRep2,,wgEncodeBroadHistoneHelas3H3k4me3StdAlnRep2.bam
13,Hepg2H3k4me3StdAlnRep1,,wgEncodeBroadHistoneHepg2H3k4me3StdAlnRep1.bam
14,Hepg2H3k4me3StdAlnRep2,,wgEncodeBroadHistoneHepg2H3k4me3StdAlnRep2.bam
15,HmecH3k4me3StdAlnRep1,,wgEncodeBroadHistoneHmecH3k4me3StdAlnRep1.bam
16,HmecH3k4me3StdAlnRep2,,wgEncodeBroadHistoneHmecH3k4me3StdAlnRep2.bam
17,HsmmH3k4me3StdAlnRep1,,wgEncodeBroadHistoneHsmmH3k4me3StdAlnRep1.bam
18,HsmmH3k4me3StdAlnRep2,,wgEncodeBroadHistoneHsmmH3k4me3StdAlnRep2.bam
19,HsmmtH3k4me3StdAlnRep1,,wgEncodeBroadHistoneHsmmtH3k4me3StdAlnRep1.bam
20,HsmmtH3k4me3StdAlnRep2,,wgEncodeBroadHistoneHsmmtH3k4me3StdAlnRep2.bam
21,HuvecH3k4me3StdAlnRep1,,wgEncodeBroadHistoneHuvecH3k4me3StdAlnRep1.bam
22,HuvecH3k4me3StdAlnRep2,,wgEncodeBroadHistoneHuvecH3k4me3StdAlnRep2.bam
23,HuvecH3k4me3StdAlnRep3,,wgEncodeBroadHistoneHuvecH3k4me3StdAlnRep3.bam
24,K562H3k4me3StdAlnRep1,,wgEncodeBroadHistoneK562H3k4me3StdAlnRep1.bam
25,K562H3k4me3StdAlnRep2,,wgEncodeBroadHistoneK562H3k4me3StdAlnRep2.bam
26,Monocd14ro1746H3k04me3AlnRep1,,wgEncodeBroadHistoneMonocd14ro1746H3k04me3AlnRep1.bam
27,Monocd14ro1746H3k04me3AlnRep2,,wgEncodeBroadHistoneMonocd14ro1746H3k04me3AlnRep2.bam
28,NhaH3k4me3StdAlnRep1,,wgEncodeBroadHistoneNhaH3k4me3StdAlnRep1.bam
29,NhaH3k4me3StdAlnRep2,,wgEncodeBroadHistoneNhaH3k4me3StdAlnRep2.bam
30,NhdfadH3k4me3StdAlnRep1,,wgEncodeBroadHistoneNhdfadH3k4me3StdAlnRep1.bam
31,NhdfadH3k4me3StdAlnRep2,,wgEncodeBroadHistoneNhdfadH3k4me3StdAlnRep2.bam
32,NhekH3k4me3StdAlnRep1,,wgEncodeBroadHistoneNhekH3k4me3StdAlnRep1.bam
33,NhekH3k4me3StdAlnRep2,,wgEncodeBroadHistoneNhekH3k4me3StdAlnRep2.bam
34,NhekH3k4me3StdAlnRep3,,wgEncodeBroadHistoneNhekH3k4me3StdAlnRep3.bam
35,NhlfH3k4me3StdAlnRep1,,wgEncodeBroadHistoneNhlfH3k4me3StdAlnRep1.bam
36,NhlfH3k4me3StdAlnRep2,,wgEncodeBroadHistoneNhlfH3k4me3StdAlnRep2.bam
37,OsteoH3k04me3AlnRep1,,wgEncodeBroadHistoneOsteoH3k04me3AlnRep1.bam
38,OsteoH3k04me3AlnRep2,,wgEncodeBroadHistoneOsteoH3k04me3AlnRep2.bam
39,OsteoH3k04me3AlnRep3,,wgEncodeBroadHistoneOsteoH3k04me3AlnRep3.bam

40,A549H3k04me3StdAlnRep1,/dcs01/gcode/fdu1/data/ENCODE/Histone/UWHg19/,wgEncodeUwHistoneA549H3k04me3StdAlnRep1.bam
41,A549H3k04me3StdAlnRep2,,wgEncodeUwHistoneA549H3k04me3StdAlnRep2.bam
42,Ag04449H3k4me3StdAlnRep1,,wgEncodeUwHistoneAg04449H3k4me3StdAlnRep1.bam
43,Ag04449H3k4me3StdAlnRep2,,wgEncodeUwHistoneAg04449H3k4me3StdAlnRep2.bam
44,Ag04450H3k4me3StdAlnRep1,,wgEncodeUwHistoneAg04450H3k4me3StdAlnRep1.bam
45,Ag04450H3k4me3StdAlnRep2,,wgEncodeUwHistoneAg04450H3k4me3StdAlnRep2.bam
46,Ag09309H3k4me3StdAlnRep1,,wgEncodeUwHistoneAg09309H3k4me3StdAlnRep1.bam
47,Ag09309H3k4me3StdAlnRep2,,wgEncodeUwHistoneAg09309H3k4me3StdAlnRep2.bam
48,Ag09319H3k4me3StdAlnRep1,,wgEncodeUwHistoneAg09319H3k4me3StdAlnRep1.bam
49,Ag09319H3k4me3StdAlnRep2,,wgEncodeUwHistoneAg09319H3k4me3StdAlnRep2.bam
50,Ag10803H3k4me3StdAlnRep1,,wgEncodeUwHistoneAg10803H3k4me3StdAlnRep1.bam
51,Ag10803H3k4me3StdAlnRep2,,wgEncodeUwHistoneAg10803H3k4me3StdAlnRep2.bam
52,AoafH3k4me3StdAlnRep1,,wgEncodeUwHistoneAoafH3k4me3StdAlnRep1.bam
53,AoafH3k4me3StdAlnRep2,,wgEncodeUwHistoneAoafH3k4me3StdAlnRep2.bam
54,Be2cH3k04me3StdAlnRep1,,wgEncodeUwHistoneBe2cH3k04me3StdAlnRep1.bam
55,Be2cH3k04me3StdAlnRep2,,wgEncodeUwHistoneBe2cH3k04me3StdAlnRep2.bam
56,BjH3k4me3StdAlnRep1,,wgEncodeUwHistoneBjH3k4me3StdAlnRep1.bam
57,BjH3k4me3StdAlnRep2,,wgEncodeUwHistoneBjH3k4me3StdAlnRep2.bam
58,Caco2H3k4me3StdAlnRep1,,wgEncodeUwHistoneCaco2H3k4me3StdAlnRep1.bam
59,Caco2H3k4me3StdAlnRep2,,wgEncodeUwHistoneCaco2H3k4me3StdAlnRep2.bam
60,Cd20ro01778H3k04me3StdAlnRep1,,wgEncodeUwHistoneCd20ro01778H3k04me3StdAlnRep1.bam
61,Cd20ro01778H3k04me3StdAlnRep2,,wgEncodeUwHistoneCd20ro01778H3k04me3StdAlnRep2.bam
62,Cd20ro01794H3k04me3StdAlnRep3,,wgEncodeUwHistoneCd20ro01794H3k04me3StdAlnRep3.bam
63,Gm06990H3k4me3StdAlnRep1,,wgEncodeUwHistoneGm06990H3k4me3StdAlnRep1.bam
64,Gm06990H3k4me3StdAlnRep2,,wgEncodeUwHistoneGm06990H3k4me3StdAlnRep2.bam
65,Gm12864H3k04me3StdAlnRep1,,wgEncodeUwHistoneGm12864H3k04me3StdAlnRep1.bam
66,Gm12864H3k04me3StdAlnRep2,,wgEncodeUwHistoneGm12864H3k04me3StdAlnRep2.bam
67,Gm12865H3k04me3StdAlnRep1,,wgEncodeUwHistoneGm12865H3k04me3StdAlnRep1.bam
68,Gm12865H3k04me3StdAlnRep2,,wgEncodeUwHistoneGm12865H3k04me3StdAlnRep2.bam
69,Gm12866H3k04me3StdAlnRep1,,wgEncodeUwHistoneGm12866H3k04me3StdAlnRep1.bam
70,Gm12875H3k04me3StdAlnRep1,,wgEncodeUwHistoneGm12875H3k04me3StdAlnRep1.bam
71,Gm12878H3k4me3StdAlnRep1,,wgEncodeUwHistoneGm12878H3k4me3StdAlnRep1.bam
72,Gm12878H3k4me3StdAlnRep2,,wgEncodeUwHistoneGm12878H3k4me3StdAlnRep2.bam
73,H7esH3k04me3StdDiffa14dAlnRep1,,wgEncodeUwHistoneH7esH3k04me3StdDiffa14dAlnRep1.bam
74,H7esH3k04me3StdDiffa14dAlnRep2,,wgEncodeUwHistoneH7esH3k04me3StdDiffa14dAlnRep2.bam
75,H7esH3k04me3StdDiffa2dAlnRep1,,wgEncodeUwHistoneH7esH3k04me3StdDiffa2dAlnRep1.bam
76,H7esH3k04me3StdDiffa2dAlnRep2,,wgEncodeUwHistoneH7esH3k04me3StdDiffa2dAlnRep2.bam
77,H7esH3k04me3StdDiffa5dAlnRep1,,wgEncodeUwHistoneH7esH3k04me3StdDiffa5dAlnRep1.bam
78,H7esH3k04me3StdDiffa5dAlnRep2,,wgEncodeUwHistoneH7esH3k04me3StdDiffa5dAlnRep2.bam
79,H7esH3k04me3StdDiffa9dAlnRep1,,wgEncodeUwHistoneH7esH3k04me3StdDiffa9dAlnRep1.bam
80,H7esH3k04me3StdDiffa9dAlnRep2,,wgEncodeUwHistoneH7esH3k04me3StdDiffa9dAlnRep2.bam
81,H7esH3k4me3StdAlnRep1,,wgEncodeUwHistoneH7esH3k4me3StdAlnRep1.bam
82,H7esH3k4me3StdAlnRep2,,wgEncodeUwHistoneH7esH3k4me3StdAlnRep2.bam
83,HacH3k04me3StdAlnRep1,,wgEncodeUwHistoneHacH3k04me3StdAlnRep1.bam
84,HacH3k04me3StdAlnRep2,,wgEncodeUwHistoneHacH3k04me3StdAlnRep2.bam
85,HaspH3k4me3StdAlnRep1,,wgEncodeUwHistoneHaspH3k4me3StdAlnRep1.bam
86,HaspH3k4me3StdAlnRep2,,wgEncodeUwHistoneHaspH3k4me3StdAlnRep2.bam
87,HbmecH3k4me3StdAlnRep1,,wgEncodeUwHistoneHbmecH3k4me3StdAlnRep1.bam
88,HbmecH3k4me3StdAlnRep2,,wgEncodeUwHistoneHbmecH3k4me3StdAlnRep2.bam
89,HcfH3k4me3StdAlnRep1,,wgEncodeUwHistoneHcfH3k4me3StdAlnRep1.bam
90,HcfH3k4me3StdAlnRep2,,wgEncodeUwHistoneHcfH3k4me3StdAlnRep2.bam
91,HcfaaH3k4me3StdAlnRep1,,wgEncodeUwHistoneHcfaaH3k4me3StdAlnRep1.bam
92,HcmH3k4me3StdAlnRep1,,wgEncodeUwHistoneHcmH3k4me3StdAlnRep1.bam
93,HcmH3k4me3StdAlnRep2,,wgEncodeUwHistoneHcmH3k4me3StdAlnRep2.bam
94,HcpeH3k4me3StdAlnRep1,,wgEncodeUwHistoneHcpeH3k4me3StdAlnRep1.bam
95,HcpeH3k4me3StdAlnRep2,,wgEncodeUwHistoneHcpeH3k4me3StdAlnRep2.bam
96,Hct116H3k4me3StdAlnRep1,,wgEncodeUwHistoneHct116H3k4me3StdAlnRep1.bam
97,Hct116H3k4me3StdAlnRep2,,wgEncodeUwHistoneHct116H3k4me3StdAlnRep2.bam
98,HeeH3k4me3StdAlnRep1,,wgEncodeUwHistoneHeeH3k4me3StdAlnRep1.bam
99,HeeH3k4me3StdAlnRep2,,wgEncodeUwHistoneHeeH3k4me3StdAlnRep2.bam
100,Hek293H3k4me3StdAlnRep1,,wgEncodeUwHistoneHek293H3k4me3StdAlnRep1.bam
101,Hek293H3k4me3StdAlnRep2,,wgEncodeUwHistoneHek293H3k4me3StdAlnRep2.bam
102,Helas3H3k4me3StdAlnRep1,,wgEncodeUwHistoneHelas3H3k4me3StdAlnRep1.bam
103,Helas3H3k4me3StdAlnRep2,,wgEncodeUwHistoneHelas3H3k4me3StdAlnRep2.bam
104,Hepg2H3k4me3StdAlnRep1,,wgEncodeUwHistoneHepg2H3k4me3StdAlnRep1.bam
105,Hepg2H3k4me3StdAlnRep2,,wgEncodeUwHistoneHepg2H3k4me3StdAlnRep2.bam
106,HffH3k04me3StdAlnRep1,,wgEncodeUwHistoneHffH3k04me3StdAlnRep1.bam
107,HffmycH3k04me3StdAlnRep1,,wgEncodeUwHistoneHffmycH3k04me3StdAlnRep1.bam
108,HffmycH3k04me3StdAlnRep2,,wgEncodeUwHistoneHffmycH3k04me3StdAlnRep2.bam
109,Hl60H3k4me3StdAlnRep1,,wgEncodeUwHistoneHl60H3k4me3StdAlnRep1.bam
110,Hl60H3k4me3StdAlnRep2,,wgEncodeUwHistoneHl60H3k4me3StdAlnRep2.bam
111,HmecH3k4me3StdAlnRep1,,wgEncodeUwHistoneHmecH3k4me3StdAlnRep1.bam
112,HmecH3k4me3StdAlnRep2,,wgEncodeUwHistoneHmecH3k4me3StdAlnRep2.bam
113,HmfH3k4me3StdAlnRep1,,wgEncodeUwHistoneHmfH3k4me3StdAlnRep1.bam
114,HmfH3k4me3StdAlnRep2,,wgEncodeUwHistoneHmfH3k4me3StdAlnRep2.bam
115,HpafH3k4me3StdAlnRep1,,wgEncodeUwHistoneHpafH3k4me3StdAlnRep1.bam
116,HpafH3k4me3StdAlnRep2,,wgEncodeUwHistoneHpafH3k4me3StdAlnRep2.bam
117,HpfH3k4me3StdAlnRep1,,wgEncodeUwHistoneHpfH3k4me3StdAlnRep1.bam
118,HpfH3k4me3StdAlnRep2,,wgEncodeUwHistoneHpfH3k4me3StdAlnRep2.bam
119,HreH3k4me3StdAlnRep1,,wgEncodeUwHistoneHreH3k4me3StdAlnRep1.bam
120,HreH3k4me3StdAlnRep2,,wgEncodeUwHistoneHreH3k4me3StdAlnRep2.bam
121,HrpeH3k4me3StdAlnRep1,,wgEncodeUwHistoneHrpeH3k4me3StdAlnRep1.bam
122,HrpeH3k4me3StdAlnRep2,,wgEncodeUwHistoneHrpeH3k4me3StdAlnRep2.bam
123,HuvecH3k4me3StdAlnRep1,,wgEncodeUwHistoneHuvecH3k4me3StdAlnRep1.bam
124,HuvecH3k4me3StdAlnRep2,,wgEncodeUwHistoneHuvecH3k4me3StdAlnRep2.bam
125,HvmfH3k4me3StdAlnRep1,,wgEncodeUwHistoneHvmfH3k4me3StdAlnRep1.bam
126,HvmfH3k4me3StdAlnRep2,,wgEncodeUwHistoneHvmfH3k4me3StdAlnRep2.bam
127,JurkatH3k4me3StdAlnRep1,,wgEncodeUwHistoneJurkatH3k4me3StdAlnRep1.bam
128,JurkatH3k4me3StdAlnRep2,,wgEncodeUwHistoneJurkatH3k4me3StdAlnRep2.bam
129,K562H3k4me3StdAlnRep1,,wgEncodeUwHistoneK562H3k4me3StdAlnRep1.bam
130,K562H3k4me3StdAlnRep2,,wgEncodeUwHistoneK562H3k4me3StdAlnRep2.bam
131,LncapH3k04me3StdAlnRep1,,wgEncodeUwHistoneLncapH3k04me3StdAlnRep1.bam
132,LncapH3k04me3StdAlnRep2,,wgEncodeUwHistoneLncapH3k04me3StdAlnRep2.bam
133,Mcf7H3k04me3StdAlnRep2,,wgEncodeUwHistoneMcf7H3k04me3StdAlnRep2.bam
134,Mcf7H3k4me3StdAlnRep1,,wgEncodeUwHistoneMcf7H3k4me3StdAlnRep1.bam
135,Monocd14ro1746H3k04me3StdAlnRep1,,wgEncodeUwHistoneMonocd14ro1746H3k04me3StdAlnRep1.bam
136,Nb4H3k4me3StdAlnRep1,,wgEncodeUwHistoneNb4H3k4me3StdAlnRep1.bam
137,NhdfneoH3k4me3StdAlnRep1,,wgEncodeUwHistoneNhdfneoH3k4me3StdAlnRep1.bam
138,NhdfneoH3k4me3StdAlnRep2,,wgEncodeUwHistoneNhdfneoH3k4me3StdAlnRep2.bam
139,NhekH3k4me3StdAlnRep1,,wgEncodeUwHistoneNhekH3k4me3StdAlnRep1.bam
140,NhekH3k4me3StdAlnRep2,,wgEncodeUwHistoneNhekH3k4me3StdAlnRep2.bam
141,NhlfH3k04me3StdAlnRep1,,wgEncodeUwHistoneNhlfH3k04me3StdAlnRep1.bam
142,NhlfH3k04me3StdAlnRep2,,wgEncodeUwHistoneNhlfH3k04me3StdAlnRep2.bam
143,Panc1H3k04me3StdAlnRep1,,wgEncodeUwHistonePanc1H3k04me3StdAlnRep1.bam
144,Panc1H3k04me3StdAlnRep2,,wgEncodeUwHistonePanc1H3k04me3StdAlnRep2.bam
145,RptecH3k04me3StdAlnRep1,,wgEncodeUwHistoneRptecH3k04me3StdAlnRep1.bam
146,RptecH3k04me3StdAlnRep2,,wgEncodeUwHistoneRptecH3k04me3StdAlnRep2.bam
147,SaecH3k4me3StdAlnRep1,,wgEncodeUwHistoneSaecH3k4me3StdAlnRep1.bam
148,SaecH3k4me3StdAlnRep2,,wgEncodeUwHistoneSaecH3k4me3StdAlnRep2.bam
149,SkmcH3k04me3StdAlnRep1,,wgEncodeUwHistoneSkmcH3k04me3StdAlnRep1.bam
150,SkmcH3k04me3StdAlnRep2,,wgEncodeUwHistoneSkmcH3k04me3StdAlnRep2.bam
151,SknmcH3k04me3StdAlnRep1,,wgEncodeUwHistoneSknmcH3k04me3StdAlnRep1.bam
152,SknmcH3k04me3StdAlnRep2,,wgEncodeUwHistoneSknmcH3k04me3StdAlnRep2.bam
153,SknshraH3k4me3StdAlnRep1,,wgEncodeUwHistoneSknshraH3k4me3StdAlnRep1.bam
154,SknshraH3k4me3StdAlnRep2,,wgEncodeUwHistoneSknshraH3k4me3StdAlnRep2.bam
155,Werirb1H3k04me3StdAlnRep1,,wgEncodeUwHistoneWerirb1H3k04me3StdAlnRep1.bam
156,Werirb1H3k04me3StdAlnRep2,,wgEncodeUwHistoneWerirb1H3k04me3StdAlnRep2.bam
157,Wi38H3k04me3OhtamStdAlnRep1,,wgEncodeUwHistoneWi38H3k04me3OhtamStdAlnRep1.bam
158,Wi38H3k04me3OhtamStdAlnRep2,,wgEncodeUwHistoneWi38H3k04me3OhtamStdAlnRep2.bam
159,Wi38H3k04me3StdAlnRep1,,wgEncodeUwHistoneWi38H3k04me3StdAlnRep1.bam
160,Wi38H3k04me3StdAlnRep2,,wgEncodeUwHistoneWi38H3k04me3StdAlnRep2.bam
