MatrixID	DataFile	k	extW	RowCnt	ColCnt	RUVOutMode
1	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10001.bfv	0	1	254371	69	RUVOutputModeYminusZY
2	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10002.bfv	0	0	254371	69	RUVOutputModeYminusZY
3	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10003.bfv	1	0	254371	69	RUVOutputModeYminusZY
4	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10004.bfv	2	0	254371	69	RUVOutputModeYminusZY
5	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10005.bfv	3	0	254371	69	RUVOutputModeYminusZY
6	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10006.bfv	4	0	254371	69	RUVOutputModeYminusZY
7	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10007.bfv	5	0	254371	69	RUVOutputModeYminusZY
8	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10008.bfv	6	0	254371	69	RUVOutputModeYminusZY
9	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10009.bfv	7	0	254371	69	RUVOutputModeYminusZY
10	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10010.bfv	8	0	254371	69	RUVOutputModeYminusZY
11	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10011.bfv	9	0	254371	69	RUVOutputModeYminusZY
12	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10012.bfv	10	0	254371	69	RUVOutputModeYminusZY
13	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10013.bfv	20	0	254371	69	RUVOutputModeYminusZY
14	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10014.bfv	30	0	254371	69	RUVOutputModeYminusZY
15	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10015.bfv	40	0	254371	69	RUVOutputModeYminusZY
16	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10016.bfv	50	0	254371	69	RUVOutputModeYminusZY
17	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10017.bfv	60	0	254371	69	RUVOutputModeYminusZY
18	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10018.bfv	70	0	254371	69	RUVOutputModeYminusZY
19	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10019.bfv	80	0	254371	69	RUVOutputModeYminusZY
20	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10020.bfv	90	0	254371	69	RUVOutputModeYminusZY
21	/dcs01/gcode/fdu1/projects/BDVD/DukeUWDNase/100bp/ruvs-var-r1/s02-ruv-fstats/subtask_export/gid_10021.bfv	100	0	254371	69	RUVOutputModeYminusZY
